Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location
Warmar call,Conseillé en énergie renouvelable,https://www.m-job.ma/offres-emploi/114864-conseille-en-energie-renouvelable-casablanca,Débutants avec un bon français experts dans les centres d'appels experts dans les énergies renouvelables,L'offre a été publiée il y a 3 semaines avant sur le site.,"ALERTE RECRUTEMENT Nous recherchons pour notre centre d'appel a CASABLANCA bd anfa , des agents pour la prise de rendez-vous pour l'audit énergétique. Nous recherchons des personnes avec ou sans experience dans le domaine des centres d'appels, avec une bonne élocution en français Nous vous proposons une formation compléte dans les énergies renouvelables ,une montée en compétences et un accompagnement terrain pour atteindre vos objectifs oui c'est vrai et realisable, un climat de travail hors du commun, ZERO STRESS, avec un horaire administratif, personnes etrangeres acceptées, ainsi que tous les avantages sociaux ( cnss,amo) Salaire : 4500 dh + primes deplafonnées. Horaire : lundi au vendredi 9h30 - 18h30 Tout ce que vous allez faire c'est de nous envoyer vos cv , et nous nous occupons du reste A plus tard 💪",CDI,Commerce / Distribution / Vente / Import-export,Télé-conseillers,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans),Français,de 4000 dh à 6000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

AXELLIANCES CONSULTING,Conseillers débutant en Assurances de personnes,https://www.m-job.ma/offres-emploi/114826-conseillers-debutant-en-assurances-de-personnes-mohammedia,Débutant - fraichement diplômé,Français,"Vous êtes débutant, vous avez un BAC+2 ou 3 dans les domaines : Commerce, Management ou Gestion des organisations, vous êtes assidue, rigoureux ; 2I COURTAGE France vous offre un poste de conseiller de clientèle débutant dans sa succursale au Maroc. Vous devez suivre une formation d’une semaine dans le domaine de l’assurances de personnes (Santé, prévoyances). A l’issu de cette formation, une évaluation est prévue : Les personnes retenues seront recrutées sous CDI avec un salaire attractif et avantages sociaux. Les autres, bénéficieront d’une attestation qui facilitera leurs insertions dans le monde professionnel.",CDI,Commerce / Distribution / Vente / Import-export,Conseiller de clientèle débutant,Fraichement diplômé,BAC+2,non défini,L'offre a été publiée il y a 1 mois avant sur le site.,Commerce / Distribution / Vente / Import-export,Mohammedia

QS CONSULTING,la télévente de produits d'Assurance (mutuelle santé).,https://www.m-job.ma/offres-emploi/114813-la-televente-de-produits-dassurance-mutuelle-sante-rabat,cherche des centres d'appels ou des agents en freelance pour de la télévente de produits d'Assurance (mutuelle santé).,Français,"Courtier en assurance ( Assurance F-EME ) basé en France et ayant sa propre succursale, cherche des centres d'appels ou des agents en freelance pour de la télévente de produits d'Assurance (mutuelle santé). Nous vous garantissons des taux de commission très intéressants et la solvabilité. ""Nous ne sommes pas des intermédiaires "" NB: Uniquement les Call Center avec expérience dans le domaine SVP",CDI,Commerce / Distribution / Vente / Import-export,télévente de produits d'Assurance (mutuelle santé).,Débutant (de 1 à 3 ans),NIV BAC ET MOINS,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Commerce / Distribution / Vente / Import-export,Rabat

Perform call,prise de RDV SUISSE,https://www.m-job.ma/offres-emploi/114635-prise-de-rdv-suisse-6-rabat,Vous PARLER et COMPRENEZ parfaitement le Français,Français,EXPERT-SWISSCALL est un centre situé proche d’aswak assalam à Hay Riad . Installée dans une Villa avec salle de jeux et piscine. Nous recherchons des téléphonistes pour prendre des RDV pour nos commerciaux dans le domaine de l'assurance Suisse. Votre profil : 1)Vous PARLER et COMPRENEZ parfaitement le Français. Un salaire fixe de 5 300 Dhs + Challenge régulier +1 000DHs pour le meilleur employées du mois + prime transport. Votre mission : PRISE DE RDV HORAIRE : 09H00 à 12H30 / 16H00 à 19H00 (possibilité de mi temps) Week-end off,CDI,Commerce / Distribution / Vente / Import-export,téléphoniste,Fraichement diplômé,NIV BAC ET MOINS,de 4000 dh à 6000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Commerce / Distribution / Vente / Import-export,Rabat

PARADISE B,ASSISTANT LOGISTIQUE,https://www.m-job.ma/offres-emploi/114594-assistant-logistique-2-casablanca,HOMME Niveau BAC et plus HABITE A CASABLANCA Experience souhaitée,Français,Importateur et distributeur exclusive d'une chaîne internationale basé à Maarif Casablanca,CDI,Commerce / Distribution / Vente / Import-export,"Poste ""assistant logistique"" qui assiste le responsable logistique pour toutes les actions liées à la chaîne logistique de l'entreprise, de la préparation à la livraison. il assure le bon déroulement des opérations et le respect des délais. L'assistante logistique utilise des tableaux de bord de suivi pour suivre les opérations.",Débutant (de 1 à 3 ans),BAC,de 2000 dh à 4000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

IZ WEB SERVICES,Apporteurs d'affaires en assurances (TELEVENDEURS EN ASSURANCES),https://www.m-job.ma/offres-emploi/114592-apporteurs-daffaires-en-assurances-televendeurs-en-assurances-tanger,"Au quotidien, vous être chargé de : • Contacter les clients par téléphone afin de concrétiser des contrats d’assurances santé et prévoyances • Développer un argumentaire de vente. • Informer les clients sur les produits ou services proposés ainsi que sur les garanties. • Répondre précisément aux demandes et objections des clients. Cette mission vous permettra d’affirmer votre dimension commerciale et de mettre en avant vos qualités de conseil et de persuasion au service de la satisfaction de nos clients. Votre responsable vous formera et vous accompagnera dans la maîtrise de notre métier et de l’outil informatique. Profil recherché : Plus que votre formation, c’est votre expérience professionnelle en relation client qui fera la différence une expérience en Télévente de minimum 1 an sur les secteurs suivants (Mutuelle, Prévoyances >FR) est obligatoire. Votre sens commercial et votre goût du challenge vous permettront de réussir rapidement dans vos missions. Ce poste nécessite une certaine souplesse horaire. Vous êtes débutant, notre formation enligne complète vous permettra d’être rapidement opérationnel et de développer votre maîtrise du métier. Merci de nous envoyer vos Cv's et Vos lettres de Motivation",L'offre a été publiée il y a 1 mois avant sur le site.,Pour le compte de l'un de nos partenaires Courtier en Assurance (FRANCE),CDD / Free Lance / Lettre d'Engagement,Banque / Assurance / Commerce / Distribution / Vente / Import-export,Nous recherchons des personnes ayant une importante expérience de vente par téléphone. Nous assurons une formation En ligne très complète et nous recherchons une collaboration qui s'inscrit dans la durée. La rémunération variable est très motivante et non plafonnée. Dans le cadre d'une facturation en auto-entrepreneur vous pouvez dépasser les 40 000 Dhs par mois! Un profil salarié avec une forte expertise nous intéresse également Si vous êtes un auto-entrepreneur ou une SARL un contrat de prestataire de services sera établi entre les deux parties.,BAC+2,Français,A négocier,L'offre a été publiée il y a 1 mois avant sur le site.,Commerce / Distribution / Vente / Import-export,Tanger / Oujda / Rabat / Kenitra / Casablanca / Mohammedia / Marrakech

M2K sourcing,Recrutement des commerciaux expérimentés en le CPF (télétravail),https://www.m-job.ma/offres-emploi/114579-recrutement-des-commerciaux-experimentes-en-le-cpf-teletravail-meknes,"Nos horaires sont fixes,et vous permettent de libérer vos Weekends. Nos salaires sont composés d'une partie fixe et d'une prime variable déplafonnée. Contrat CDI+CNSS Les autres avantages vous seront détaillés lors de l'entretien 9h à 18h du Lundi au Vendredi avec le weekend OFF",Français,"Dans le cadre de notre développement continu de notre mission CPF, nous recrutons des téléconseillers expérimentés avec une disponibilité immédiate. Vous disposer d'un casque et pc ? Vous avez la niaque et l’envie de bousculer vos habitudes salariales, ce poste est fait pour vous !",Free Lance,Commerce / Distribution / Vente / Import-export,Français parfait -Le sens de l'écoute et une fibre commerciale développée. - Capable de convaincre au téléphone. - Motivé par les primes et les challenges. -Esprit d'équipe -Sens aiguisé des techniques de vente / marketing -Qualités relationnelles et d'animation -Facilité d'expression et de communication -Compétences linguistiques parfaites -Qualité rédactionnelle confirmée -Résistance au stress -Force de proposition -Forte culture du résultat -Sens d'analyse liées à la qualité -Capacité de tirer des conclusions et recommander des initiatives d'amélioration.,Débutant (de 1 à 3 ans),BAC,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Commerce / Distribution / Vente / Import-export,Maroc

IDC,Responsable de la communication,https://www.m-job.ma/offres-emploi/115145-responsable-de-la-communication-10-rabat,Les principales missions : • Concevoir un plan de communication pour atteindre le public visé • Choisir les supports adéquats pour la communication • Rédiger et diffuser des communiqués de presse et les messages sur les RS • Faire de la veille.,Français,Nous sommes un cabinet de conseil en ressources humaine basés à Rabat-Agdal.,Intérim,Communication / Publicité,"• Bonne maîtrise des langues française et anglaises ; • Bonne capacité de rédaction (articles, interview…) • Rigoureux (se), dynamique, créatif (ve) et très organisé(e).Votre niveau d'étude n'est pas plus important que vos compétences et expériences. Expérience probante dans le monde de la presse et ou des médias au Maroc / international Salaire intéressant à discuter selon votre expérience, poste à pourvoir immédiatement avec possibilités d’évolutions et de formations.",Fraichement diplômé,BAC+5 et plus,A négocier,L'offre a été publiée il y a 20 heures avant sur le site.,Communication / Publicité,Rabat

SUCCESS CODE SARL,RECRUTEMENT SUCCESS CODE,https://www.m-job.ma/offres-emploi/115143-recrutement-success-code-rabat,francophone,Français,Nous sommes un centre d'appel spécialisé dans l'émission d'appels sur le projet audit énergétique et nous recherchons des téléconseillers ayant une maitrise de la langue française Nous sommes situé à rabat agdal avenue de france Salaire motivant + primes Horaire : 9h00 à 19h00,CDI,Communication / Publicité,téléconseiller,Fraichement diplômé,NIV BAC ET MOINS,non défini,L'offre a été publiée il y a 1 jour avant sur le site.,Communication / Publicité,Rabat

SUCCESS CODE SARL,Success Code recrute,https://www.m-job.ma/offres-emploi/115115-success-code-recrute-rabat,Téléconseillers,L'offre a été publiée il y a 3 jours avant sur le site.,Nous sommes un centre d'appel spécialisé dans l'émission d'appels sur le projet audit énergétique et nous recherchons des téléconseillers ayant une maitrise de la langue française Nous sommes situé à rabat agdal avenue de france Salaire motivant + primes Horaire : 9h00 à 19h00 Week-end : OFF,CDI,Fraichement diplômé,Centres d'appels,NIV BAC ET MOINS,Français,non défini,L'offre a été publiée il y a 3 jours avant sur le site.,Communication / Publicité,Rabat

SUCCESS CODE SARL,Recrutement téléconseillers,https://www.m-job.ma/offres-emploi/115107-recrutement-teleconseillers-3-rabat,Nous recherchons des profils francophone pour une mission de PRDV en centre d'appel Salaire + Prime Horaire: 09h00 à 19h00 Week-end : OFF Avec ou sans expérience Temps plein,Français,Nous recherchons des profils francophones pour une mission de PRDV en centre d'appel Salaire + Prime Horaire: 09h00 à 19h00 Week-end : OFF Avec ou sans expérience Temps plein,CDI,Communication / Publicité,Nous recherchons des profils francophone pour une mission de PRDV en centre d'appel Salaire + Prime Horaire: 09h00 à 19h00 Week-end : OFF Avec ou sans expérience Temps plein,Fraichement diplômé,NIV BAC ET MOINS,non défini,L'offre a été publiée il y a 3 jours avant sur le site.,Communication / Publicité,Rabat
